zone_risk,income_band_value,working_hours,platform_tenure,days_active_last_week,zone_disruption_count,expected_weekly_loss
0.3745401188473625,3,31,45,2,20,777.967680389328
0.9507143064099162,3,14,22,7,0,302.599204000342
0.7319939418114051,4,59,39,5,4,900.0
0.5986584841970366,3,51,9,2,20,900.0
0.15601864044243652,5,32,35,5,6,900.0
0.15599452033620265,3,24,23,6,12,497.77861475986606
0.05808361216819946,5,40,12,6,12,900.0
0.8661761457749352,3,18,24,0,19,511.06465352711496
0.6011150117432088,5,52,40,1,20,900.0
0.7080725777960455,3,34,9,4,5,791.7924760973954
0.020584494295802447,3,34,13,6,19,900.0
0.9699098521619943,2,58,40,5,11,900.0
0.8324426408004217,5,30,42,5,7,900.0
0.21233911067827616,5,18,17,7,8,569.53671349533
0.18182496720710062,5,57,7,7,17,900.0
0.18340450985343382,1,47,17,2,10,347.25028710668926
0.3042422429595377,3,31,24,2,19,859.2751058428455
0.5247564316322378,5,52,2,6,10,900.0
0.43194501864211576,1,32,35,6,14,262.7734547542403
0.2912291401980419,2,58,28,3,8,770.3745170954344
0.6118528947223795,5,13,19,5,2,376.03700627548557
0.13949386065204183,5,38,33,0,16,900.0
0.29214464853521815,1,24,21,1,16,233.02418401491025
0.3663618432936917,3,10,10,1,2,157.15438809557895
0.45606998421703593,2,39,46,7,18,632.1461635206562
0.7851759613930136,5,38,45,1,8,900.0
0.19967378215835974,3,29,9,5,16,810.8167318067475
0.5142344384136116,2,42,38,2,17,673.6558992677601
0.5924145688620425,4,50,6,0,14,900.0
0.046450412719997725,4,53,42,1,0,821.6360589391129
0.6075448519014384,2,45,35,5,9,645.3861028176376
0.17052412368729153,1,31,18,4,7,192.99369596134815
0.06505159298527952,2,22,19,6,9,296.7647674293388
0.9488855372533332,2,16,5,3,1,225.7155839255763
0.9656320330745594,1,17,25,3,18,162.20147340214967
0.8083973481164611,1,37,11,1,13,371.5184170274931
0.3046137691733707,3,54,10,2,7,900.0
0.09767211400638387,3,52,17,3,18,900.0
0.6842330265121569,1,18,36,3,0,95.51019686848173
0.4401524937396013,4,34,26,7,15,900.0
0.12203823484477883,4,25,31,3,14,741.6535274705442
0.4951769101112702,2,19,32,3,19,360.7583588282484
0.034388521115218396,5,20,21,1,4,501.15883758009306
0.9093204020787821,2,40,18,7,2,573.7785517857556
0.2587799816000169,2,21,18,5,16,374.8891909885776
0.662522284353982,5,40,1,0,9,900.0
0.31171107608941095,1,23,14,0,4,142.02248135644774
0.5200680211778108,4,60,8,2,10,900.0
0.5467102793432796,2,53,2,5,5,790.5073765237013
0.18485445552552704,5,41,15,6,3,900.0
0.9695846277645586,3,59,34,4,6,900.0
0.7751328233611146,2,26,36,0,18,481.5633621968005
0.9394989415641891,4,44,1,4,6,900.0
0.8948273504276488,1,10,21,0,13,100.95471933837882
0.5978999788110851,2,38,42,7,16,643.2811917133331
0.9218742350231168,2,60,1,0,16,900.0
0.0884925020519195,5,13,32,7,12,457.37761857796073
0.1959828624191452,3,32,20,7,0,507.8653143377626
0.045227288910538066,3,37,47,2,1,475.5299540832502
0.32533033076326434,1,25,36,3,17,253.10418376875688
0.388677289689482,4,21,39,2,3,441.3854886549726
0.2713490317738959,1,30,30,7,12,254.82229092562613
0.8287375091519293,2,54,7,7,0,721.2140852110833
0.3567533266935893,2,26,22,0,3,314.4576828332576
0.28093450968738076,3,49,45,5,1,692.7694406250992
0.5426960831582485,4,22,10,3,3,583.9079375419844
0.14092422497476265,5,41,8,5,15,900.0
0.8021969807540397,4,46,27,5,3,900.0
0.07455064367977082,2,59,10,5,8,791.3873999250176
0.9868869366005173,5,24,14,3,16,900.0
0.7722447692966574,4,21,46,5,20,743.9800467007225
0.1987156815341724,4,58,11,3,19,900.0
0.005522117123602399,5,24,6,4,20,900.0
0.8154614284548342,2,43,21,7,1,559.2131538438659
0.7068573438476171,4,15,33,6,2,356.0305180921794
0.7290071680409873,5,26,19,0,14,900.0
0.7712703466859457,2,57,39,1,6,770.7377864832828
0.07404465173409036,5,58,24,5,3,900.0
0.3584657285442726,5,29,18,2,11,900.0
0.11586905952512971,4,18,35,4,0,353.5796373471734
0.8631034258755935,2,14,43,2,16,249.23513166494402
0.6232981268275579,4,32,37,1,3,745.483581716839
0.3308980248526492,1,42,19,3,3,239.0865639988991
0.06355835028602363,1,47,24,1,8,292.43011772734917
0.3109823217156622,2,23,34,2,20,390.8808205018244
0.32518332202674705,5,26,22,7,9,900.0
0.7296061783380641,4,28,4,7,18,900.0
0.6375574713552131,4,42,10,1,18,900.0
0.8872127425763265,2,10,2,7,14,195.55436808392122
0.4722149251619493,2,22,8,0,16,446.3579675042561
0.1195942459383017,1,55,33,1,6,288.6764918656544
0.713244787222995,3,36,38,5,2,615.206394008248
0.7607850486168974,2,15,43,0,4,170.03037171603492
0.5612771975694962,3,15,28,5,15,426.0188344821494
0.770967179954561,2,42,10,6,6,667.4503510853675
0.49379559636439074,5,39,45,6,15,900.0
0.5227328293819941,5,55,1,1,8,900.0
0.42754101835854963,1,44,34,0,0,215.50686769288845
0.02541912674409519,1,32,3,7,2,138.37486706986658
0.10789142699330445,3,19,9,0,7,375.7852548116831
0.03142918568673425,2,60,5,6,17,900.0
0.6364104112637804,4,28,42,1,17,900.0
0.3143559810763267,1,60,10,4,18,622.2640268866729
0.5085706911647028,4,37,12,3,6,900.0
0.907566473926093,4,32,18,3,19,900.0
0.24929222914887494,2,13,21,3,5,145.94868985916736
0.41038292303562973,3,29,21,7,10,633.0298078716788
0.7555511385430487,2,28,1,0,4,457.2788210451657
0.22879816549162246,1,51,3,7,11,427.3208309916295
0.07697990982879299,4,36,5,6,0,734.6935173438834
0.289751452913768,2,43,25,3,18,777.9202959445755
0.16122128725400442,2,13,8,6,10,183.55075127088145
0.9296976523425731,2,47,17,0,14,900.0
0.808120379564417,1,16,9,6,15,165.3231459427479
